"Tue May 24 16:36:40 2011","players/mizan/opl/beasties/easy/gold#10119","1","Mizan","players/mizan/opl/CELLS/C118"
"Tue May 24 16:37:28 2011","players/mizan/opl/beasties/easy/cobold#10137","1","Mizan","players/mizan/opl/CELLS/C238"
"Tue May 24 16:38:28 2011","players/mizan/opl/beasties/easy/goliathbeano#10252","1","Mizan","players/mizan/opl/CELLS/C118"
"Tue May 24 16:38:50 2011","players/mizan/opl/beasties/easy/gold#10259","3","Mizan","players/mizan/opl/CELLS/C118"
"Tue May 24 16:44:02 2011","players/mizan/opl/beasties/easy/goliathbeano#10291","3","Mizan","players/mizan/opl/CELLS/C118"
"Tue May 24 18:28:59 2011","players/mizan/opl/beasties/hard/domokun#11058","2","Mizan","players/mizan/workroom"
"Tue May 24 18:32:41 2011","players/mizan/opl/beasties/hard/domokun#11084","2","Mizan","players/mizan/workroom"
"Tue May 24 18:33:31 2011","players/mizan/opl/beasties/hard/domokun#11106","2","Mizan","players/mizan/workroom"
"Tue May 24 18:35:05 2011","players/mizan/opl/beasties/hard/domokun#11124","2","Mizan","players/mizan/workroom"
"Tue May 24 18:36:09 2011","players/mizan/opl/beasties/hard/domokun#11156","2","Mizan","players/mizan/workroom"
"Tue May 24 18:36:57 2011","players/mizan/opl/beasties/easy/goliathbeano#11169","1","Mizan","players/mizan/workroom"
"Tue May 24 18:38:59 2011","players/mizan/opl/beasties/easy/goliathbeano#11178","1","Mizan","players/mizan/workroom"
"Tue May 24 18:39:33 2011","players/mizan/opl/beasties/easy/goliathbeano#11190","1","Mizan","players/mizan/workroom"
"Tue May 24 18:40:09 2011","players/mizan/opl/beasties/easy/goliathbeano#11199","1","Mizan","players/mizan/workroom"
"Tue May 24 18:40:51 2011","players/mizan/opl/beasties/easy/knobgoblin#11207","2","Mizan","players/mizan/workroom"
"Tue May 24 18:42:29 2011","players/mizan/opl/beasties/easy/knobgoblin#11288","2","Mizan","players/mizan/workroom"
"Tue May 24 18:43:37 2011","players/mizan/opl/beasties/easy/knobgoblin#11299","2","Mizan","players/mizan/workroom"
"Tue May 24 18:43:59 2011","players/mizan/opl/beasties/easy/knobgoblin#11307","1","Mizan","players/mizan/workroom"
"Tue May 24 18:45:11 2011","players/mizan/opl/beasties/fungus/potato#11342","1","Mizan","players/mizan/workroom"
"Tue May 24 18:45:27 2011","players/mizan/opl/beasties/fungus/potato#11348","2","Mizan","players/mizan/workroom"
"Tue May 24 18:46:55 2011","players/mizan/opl/beasties/fungus/potato#11362","3","Mizan","players/mizan/workroom"
"Tue May 24 18:47:17 2011","players/mizan/opl/beasties/fungus/potato#11377","0","Mizan","players/mizan/workroom"
