"Sun Jun 19 23:29:58 2011",	"players/zeus/realm/NPC/snake1#4369",	"200",	"200",	"20",	"6",	"295",	"308",	"308",	"308",	"3",	"0",	
"Sun Jun 19 23:30:00 2011",	"players/zeus/realm/NPC/snake1#4369",	"200",	"200",	"20",	"6",	"283",	"308",	"308",	"308",	"3",	"0",	
"Sun Jun 19 23:30:00 2011",	"players/zeus/realm/NPC/snake1#4369",	"200",	"200",	"20",	"6",	"283",	"308",	"308",	"308",	"3",	"0",	
"Mon Jun 20 22:57:23 2011",	"players/tallos/7tigers/mobs/asimar1#11606",	"502",	"649",	"34",	"24",	"308",	"308",	"308",	"308",	"3",	"0",	
"Mon Jun 20 22:57:25 2011",	"players/tallos/7tigers/mobs/asimar1#11606",	"496",	"649",	"34",	"24",	"295",	"308",	"288",	"308",	"3",	"0",	
"Mon Jun 20 22:57:39 2011",	"players/tallos/7tigers/mobs/asimar1#11606",	"64",	"649",	"34",	"24",	"295",	"308",	"286",	"308",	"3",	"0",	
"Mon Jun 20 22:58:19 2011",	"players/tallos/7tigers/mobs/asimar1#11638",	"448",	"678",	"31",	"22",	"301",	"308",	"303",	"308",	"3",	"0",	
"Mon Jun 20 22:58:19 2011",	"players/tallos/7tigers/mobs/asimar1#11638",	"448",	"678",	"31",	"22",	"288",	"308",	"284",	"308",	"3",	"0",	
"Mon Jun 20 22:58:51 2011",	"players/tallos/7tigers/mobs/asimar1#11664",	"485",	"614",	"33",	"23",	"292",	"308",	"294",	"308",	"3",	"0",	
"Mon Jun 20 22:58:51 2011",	"players/tallos/7tigers/mobs/asimar1#11664",	"485",	"614",	"33",	"23",	"279",	"308",	"278",	"308",	"3",	"0",	
"Mon Jun 20 22:59:29 2011",	"players/tallos/7tigers/mobs/asimar1#11747",	"367",	"528",	"31",	"22",	"285",	"308",	"299",	"308",	"3",	"0",	
"Mon Jun 20 22:59:31 2011",	"players/tallos/7tigers/mobs/asimar1#11747",	"337",	"528",	"31",	"22",	"272",	"308",	"286",	"308",	"3",	"0",	
"Mon Jun 20 23:00:17 2011",	"players/tallos/7tigers/mobs/succubus1#11764",	"156",	"610",	"33",	"22",	"278",	"308",	"294",	"308",	"3",	"0",	
"Mon Jun 20 23:00:27 2011",	"players/tallos/7tigers/mobs/bonedevil2#11763",	"265",	"539",	"33",	"21",	"265",	"308",	"294",	"308",	"3",	"0",	
"Mon Jun 20 23:01:47 2011",	"players/tallos/7tigers/mobs/succubus1#11795",	"397",	"576",	"33",	"25",	"268",	"308",	"308",	"308",	"3",	"0",	
"Mon Jun 20 23:01:49 2011",	"players/tallos/7tigers/mobs/succubus1#11795",	"355",	"576",	"33",	"25",	"255",	"308",	"302",	"308",	"3",	"0",	
"Mon Jun 20 23:02:27 2011",	"players/tallos/7tigers/mobs/bonedevil2#11819",	"405",	"636",	"33",	"20",	"257",	"308",	"308",	"308",	"3",	"0",	
"Mon Jun 20 23:02:27 2011",	"players/tallos/7tigers/mobs/bonedevil2#11819",	"405",	"636",	"33",	"20",	"244",	"308",	"290",	"308",	"3",	"0",	
"Mon Jun 20 23:02:29 2011",	"players/tallos/7tigers/mobs/bonedevil2#11819",	"296",	"636",	"33",	"20",	"244",	"308",	"270",	"308",	"3",	"0",	
"Mon Jun 20 23:02:29 2011",	"players/tallos/7tigers/mobs/bonedevil2#11819",	"296",	"636",	"33",	"20",	"244",	"308",	"270",	"308",	"3",	"0",	
"Mon Jun 20 23:02:51 2011",	"players/tallos/7tigers/mobs/succubus1#11820",	"158",	"688",	"33",	"22",	"246",	"308",	"265",	"308",	"3",	"0",	
"Mon Jun 20 23:04:25 2011",	"players/maledicta/cont/ltown/mobs/lguard#11839",	"362",	"500",	"30",	"17",	"251",	"308",	"290",	"308",	"3",	"0",	
"Mon Jun 20 23:04:25 2011",	"players/maledicta/cont/ltown/mobs/lguard#11839",	"362",	"500",	"30",	"17",	"251",	"308",	"290",	"308",	"3",	"0",	
"Mon Jun 20 23:04:29 2011",	"players/maledicta/cont/ltown/mobs/lguard#11839",	"248",	"500",	"30",	"17",	"251",	"308",	"244",	"308",	"3",	"0",	
"Mon Jun 20 23:04:45 2011",	"players/maledicta/cont/ltown/mobs/lguard#11837",	"164",	"500",	"30",	"17",	"240",	"308",	"235",	"308",	"3",	"0",	
"Mon Jun 20 23:05:47 2011",	"players/maledicta/cont/ltown/mobs/lguard#11873",	"263",	"500",	"30",	"17",	"287",	"308",	"299",	"308",	"3",	"0",	
"Mon Jun 20 23:06:05 2011",	"players/maledicta/cont/ltown/mobs/lguard#11871",	"220",	"500",	"30",	"17",	"276",	"308",	"297",	"308",	"3",	"0",	
"Mon Jun 20 23:06:25 2011",	"players/maledicta/cont/ltown/mobs/lguard#11869",	"281",	"500",	"30",	"17",	"265",	"308",	"289",	"308",	"3",	"0",	
"Mon Jun 20 23:06:31 2011",	"players/maledicta/cont/ltown/mobs/lguard#11869",	"108",	"500",	"30",	"17",	"252",	"308",	"275",	"308",	"3",	"0",	
"Mon Jun 20 23:06:31 2011",	"players/maledicta/cont/ltown/mobs/lguard#11869",	"108",	"500",	"30",	"17",	"302",	"308",	"308",	"308",	"3",	"0",	
