Weapon w/ spell damage 10+random(20)
		wc10	wc11	wc12	wc13	wc14	wc15	wc16	wc17	wc18	wc19	wc20
----------------------------------------------------------------------------
AC1	  	23.5	24.1	24.5	25.0	25.6	26.1	26.4	27.1	27.6	27.9	28.4
AC2  		23.0	23.4	23.9	24.4	25.0	25.6	26.0	26.4	27.1	27.6	28.0
AC3	  	22.6	22.9	23.5	24.0	24.5	24.9	25.4	26.1	26.6	27.1	27.7
AC4  		22.1	22.5	23.1	23.5	23.8	24.5	25.1	25.5	26.1	26.6	27.0
AC5  		21.5	22.1	22.5	23.1	23.6	23.9	24.5	25.1	25.6	26.1	26.5
AC6  		21.0	21.5	22.0	22.5	23.0	23.5	24.1	24.3	25.0	25.5	26.1
AC7  		20.6	21.0	21.5	21.9	22.5	23.0	23.5	24.0	24.5	24.8	25.5
AC8  		19.9	20.5	21.0	21.6	22.1	22.6	22.9	23.5	24.0	24.5	25.0
AC9  		19.5	19.9	20.5	21.0	21.4	21.9	22.5	23.0	23.5	24.1	24.4
AC10  	19.1	19.6	20.0	20.4	21.1	21.6	22.1	22.5	23.0	23.5	23.9
AC11  	18.4	19.0	19.5	20.0	20.6	21.2	21.4	22.1	22.6	22.9	23.4
AC12  	18.0	18.6	19.0	19.5	19.9	20.5	21.1	21.4	22.2	22.6	23.0
AC13  	17.4	18.0	18.3	19.1	19.5	20.1	20.4	21.1	21.6	22.2	22.4
AC14  	17.0	17.6	18.0	18.4	19.0	19.4	19.9	20.5	21.0	21.4	22.0
AC15  	16.4	17.0	17.6	18.1	18.6	19.0	19.6	19.9	20.6	21.0	21.5
AC16  	16.0	16.6	17.0	17.6	18.0	18.5	19.0	19.5	20.0	20.5	21.0
AC17  	15.7	15.9	16.5	17.1	17.5	18.2	18.6	19.1	19.6	19.9	20.6
AC18  	15.1	15.5	16.1	16.5	17.1	17.7	18.1	18.4	19.1	19.3	20.2
AC19  	14.6	15.0	15.5	16.2	16.7	17.1	17.6	17.9	18.6	19.1	19.6
AC20  	14.3	14.8	15.2	15.8	16.0	16.6	17.1	17.5	18.0	18.6	19.2
AC21  	13.7	14.2	14.6	15.3	15.6	16.2	16.5	17.3	17.6	18.1	18.5
AC22  	13.3	13.8	14.3	14.9	15.2	15.7	16.2	16.6	17.2	17.7	18.4
AC23  	12.8	13.3	13.7	14.3	14.8	15.3	15.9	16.3	16.7	17.1	17.8
AC24  	12.4	13.1	13.5	13.9	14.3	14.9	15.3	15.9	16.4	17.1	17.2
AC25  	12.0	12.4	13.0	13.4	13.8	14.4	14.8	15.5	15.8	16.3	16.6
AC26  	11.6	12.2	12.6	13.2	13.4	14.2	14.5	15.0	15.4	15.8	16.5
AC27  	11.3	12.0	12.1	12.7	12.9	13.6	14.2	14.6	15.0	15.4	16.0
AC28  	10.9	11.4	11.8	12.4	12.7	13.1	13.9	14.0	14.6	15.1	15.5
AC29  	10.6	11.3	11.6	11.9	12.4	12.7	13.3	13.8	14.2	14.8	15.3
AC30  	10.3	10.7	11.2	11.7	12.1	12.5	13.1	13.5	13.7	14.3	14.6
AC31  	10.0	10.3	10.8	11.2	11.6	12.2	12.5	12.9	13.4	13.9	14.2
AC32  	9.6	10.1	10.5	11.0	11.6	11.8	12.2	12.6	12.9	13.4	13.8
AC33  	9.5	9.9	10.2	10.7	11.0	11.4	11.8	12.3	12.7	13.2	13.7
AC34  	9.1	9.6	9.8	10.4	10.7	11.2	11.6	12.0	12.5	12.8	13.2
AC35  	8.9	9.4	9.6	10.0	10.5	10.7	11.4	11.6	11.8	12.5	12.9
AC36  	8.7	9.0	9.2	9.9	9.9	10.7	10.9	11.4	11.6	12.1	12.5
AC37  	8.5	8.7	9.3	9.5	10.0	10.2	10.8	11.0	11.6	11.8	12.3
AC38  	8.2	8.6	8.9	9.4	9.6	10.0	10.4	10.8	11.2	11.6	11.8
AC39  	8.0	8.3	8.6	9.1	9.3	9.8	10.1	10.4	11.0	11.1	11.6
