Weapon w/spell damage random(40)
		wc10	wc11	wc12	wc13	wc14	wc15	wc16	wc17	wc18	wc19	wc20
-----------------------------------------------------------------------------
AC1	  	23.4	24.1	24.4	25.1	25.5	25.9	26.4	27.1	27.6	28.2	28.5
AC2  		22.8	23.7	23.9	24.4	25.2	25.5	25.9	26.6	27.0	27.6	28.0
AC3  		22.4	23.0	23.6	23.9	24.7	24.9	25.7	26.3	26.7	26.9	27.7
AC4  		22.0	22.5	23.0	23.5	24.2	24.6	25.4	25.6	25.9	26.4	27.0
AC5  		21.6	22.1	22.7	23.2	23.7	24.2	24.5	25.0	25.7	26.0	26.4
AC6  		21.1	21.6	22.0	22.5	23.0	23.4	24.0	24.4	25.1	25.5	26.1
AC7  		20.7	21.0	21.7	22.2	22.5	23.1	23.6	24.0	24.6	24.7	25.4
AC8  		20.0	20.8	21.2	21.4	22.1	22.5	23.1	23.5	24.0	24.4	24.8
AC9  		19.8	20.2	20.8	21.2	21.5	21.9	22.5	23.2	23.3	24.0	24.9
AC10  	19.2	19.5	20.1	20.8	21.3	21.6	22.0	22.6	23.0	23.8	24.1
AC11  	18.8	19.4	19.6	20.1	20.7	21.1	21.8	22.2	22.5	23.1	23.7
AC12  	18.4	18.7	19.3	19.5	20.1	20.8	21.1	21.8	22.1	22.6	23.3
AC13  	17.8	18.2	18.8	19.3	19.8	20.2	20.7	21.1	21.6	22.1	22.8
AC14  	17.2	17.8	18.5	18.6	19.3	19.9	20.1	20.7	21.2	21.7	22.2
AC15  	16.9	17.5	18.0	18.4	19.0	19.2	19.7	20.1	20.7	21.4	22.0
AC16  	16.6	17.0	17.6	18.1	18.6	18.7	19.3	19.8	20.3	21.0	21.1
AC17  	16.0	16.6	16.8	17.9	17.9	18.6	18.9	19.3	20.0	20.3	20.8
AC18  	15.6	16.0	16.5	17.1	17.5	18.1	18.2	19.0	19.6	19.7	20.5
AC19  	15.4	15.8	16.3	16.6	17.3	17.5	18.2	18.5	19.2	19.6	19.8
AC20  	15.1	15.5	15.9	16.2	16.8	17.3	17.5	18.2	18.6	19.1	19.8
AC21  	14.4	15.1	15.4	15.6	16.2	17.0	17.2	17.8	18.3	18.5	19.2
AC22  	14.4	14.7	15.2	15.5	16.0	16.4	16.6	17.3	17.6	18.4	18.7
AC23  	13.8	14.3	14.7	15.3	15.5	16.1	16.7	17.0	17.2	17.7	18.5
AC24  	13.4	14.0	14.4	14.8	15.3	15.7	16.0	16.6	16.9	17.3	17.6
AC25  	13.2	13.6	13.9	14.2	14.9	15.5	15.8	16.3	16.5	16.8	17.3
AC26  	12.9	13.4	13.6	14.0	14.4	14.8	15.5	15.7	15.9	16.6	17.0
AC27  	12.6	13.0	13.5	13.7	14.0	14.2	14.5	15.4	15.8	16.1	16.7
AC28  	12.2	12.5	13.1	13.5	14.0	14.0	14.7	15.0	15.5	15.9	16.3
AC29  	11.8	12.4	12.7	13.2	13.4	13.8	14.2	14.7	15.1	15.6	15.8
AC30  	11.6	12.0	12.3	12.7	13.1	13.6	14.0	14.4	14.7	14.9	15.6
AC31  	11.3	11.8	12.0	12.3	12.8	13.2	13.7	13.9	14.3	15.1	15.5
AC32  	11.0	11.5	11.7	12.2	12.5	12.9	13.2	13.7	14.2	14.4	14.8
AC33  	10.6	11.1	11.4	12.1	12.2	12.6	13.2	13.4	13.9	14.3	14.5
AC34  	10.5	10.7	11.1	11.7	11.7	12.2	12.6	12.9	13.6	13.6	14.1
AC35  	10.2	10.6	10.8	11.5	11.5	11.9	12.3	13.0	13.3	13.4	13.7
AC36  	10.0	10.2	10.6	11.0	11.3	11.7	12.0	12.6	12.8	13.0	13.7
AC37  	9.9	10.1	10.5	10.7	10.9	11.4	11.8	12.3	12.7	13.0	13.6
AC38  	9.4	9.9	10.0	10.5	10.8	11.2	11.4	11.6	12.2	12.6	13.1
AC39  	9.2	9.8	10.0	10.1	10.4	10.9	11.1	11.5	12.3	12.4	12.6
